network,npz_id,Dep_ID,Dep,Date_week,Weekday,Begin_Date_loc,Total_ves_dep,Total_inside,Total_inside_small,Inside_maneuver,Inside_maneuver_small,Inside_transit,Inside_transit_small
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-07,W,2019-10-02,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,F,2019-10-11,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,M,2019-10-07,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,Sa,2019-10-12,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,Su,2019-10-13,1,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,Th,2019-10-10,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,T,2019-10-08,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-14,W,2019-10-09,0,0,0,0,0,0,0
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,F,2019-10-18,3,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,M,2019-10-14,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,Sa,2019-10-19,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,Su,2019-10-20,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,Th,2019-10-17,6,1,6,0,0,1,6
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,T,2019-10-15,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-21,W,2019-10-16,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,F,2019-10-25,2,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,M,2019-10-21,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,Sa,2019-10-26,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,Su,2019-10-27,3,0,3,0,0,0,3
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,Th,2019-10-24,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,T,2019-10-22,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-10-28,W,2019-10-23,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,F,2019-11-01,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,M,2019-10-28,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,Sa,2019-11-02,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,Su,2019-11-03,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,Th,2019-10-31,1,0,1,0,0,0,1
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,T,2019-10-29,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-04,W,2019-10-30,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,F,2019-11-08,3,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,M,2019-11-04,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,Sa,2019-11-09,2,0,2,0,0,0,2
Northwest,NMP,201909,NINGALOO_201909_NGS,2019-11-11,Su,2019-11-10,1,0,1,0,0,0,1
